name,ratings,date,helpful,comment,developer_comment
Jin Choi,2,2020-04-19,80,지인들에게 찾던 상품의 링크를 받으면 쿠팡이 실행되다 자꾸 구글플레이로 연결됩니다. 이미 업데이트도 다 되어있고 심지어 지웠다 다시 깔아도 그렇네요. 결국 링크로는 못들어오고 쿠팡 홈에서 다시 검색해서 찾아야해 매우 불편합니다. 게다 로켓배송은 좋으나 대체로 상품들이 비싼편이라 더 아쉽습니다.,
Jinhi칵테일천국,1,2020-05-02,44,쿠팡은좋은데요. 너무데이터는 느려요. ㅜㅜ 그리고주문할때 본인인증할때 인증번호왜안옵니까. 너무실망이네요. 쿠팡은좋은데 그것수정 해주세요. 주문할것많은데요. 인증번호가 그냥신고할까요. 맘에안든다고요. 수정해주시던지 답장주세요. 아니면 신고해볼까요. 쿠팡은좋긴합니다.,
남김영효,1,2020-08-31,1,항상빠른 배송감사하네요 힘들드레도 부제시 부탁한장소에꼭좀,
가효은,1,2020-07-22,8,별 하나도 못 주겠다... a10e를 쳤는데 왜 s10e가 나오냐고 짜증나게 차별도 아니고;;;,
박지현,3,2020-05-27,365,정말좋습니다 근데 옜날에비해 가격이 오르네요 다른 홈쇼핑보다 싼편이었는데 이제는 거기서 거기네요~찿는거 거의다 나오는거같아요^^ 그리고 후기도 보니깐 안좋은후기들은 은근 공감가는부분이 많이있더라고요~^^,
백송이,5,2020-06-26,173,로켓배송 너무 유용하게 이용하고 있어요- 후기를 자주자주 올리는데 올릴때마다 얼굴을 따로 모자이크 편집해야되서 불편해요 혹시나 개선된다면 후기사진 올릴때 모자이크 기능이나 스티커기능 편집할 수 있게 해주시면 넘 좋을것같아요♡,
김정수,4,2020-07-16,6,좋은데 검수가 잘안될때가있어요,
김태영,3,2020-08-13,7,배송도 정확하고 상품도 적당하지만 배송비가 부담되네요~ 자주이용 하면 포인트로 배송비 결제하는 방법이 없어서 아쉽네요,
김정원,1,2020-09-08,2,쿠팡사용하려는데 업데이트해서 사용하라는데 앱이 열리지않고 업데이트가 계속 다운로드 대기중으로 나오고 쿠팡사용 못하고 있습니다 어찌해야 하나요?,
조성운,1,2020-05-01,19,안녕핫에ㅛ 요즈음 들어 쿠팡어플을 많은 사람들이 사용하는 것을 보고 시각장애인도 사용할수 있나 테스트 삼아 쿠팡어플을 설치해 보았습니다. 그러나 일단 검색기능에서 검색을 할려고 하니 삼성 겔럭시 s9+ 모델의 안드로이드 10버전의 시각장애인들이 사용하는 보이스 어시스턴스 음성 안내 어플로는 검색한 단어의 이름이나 검색시 자동완성 팝업창을 읽어주지 않아 현재로서는 시각장애인이 쿠팡어플을 이용할수가 없습니다. 어플을 개발하시는 분들께서는 시각장애인들도 쿠팡어플을 이용할려고 하는구나 하는 생각을 염두해 두시고 개발하실때 시각장애인들이 어플을 이용한다고 생각하시고 눈을 감고 쿠팡어플을 시각장애인이 이용할수 있나 직접 테스트 해보시고 시각장애인들도 이용할수 있도록 어플을 개발해 주시면 감사하겠습니다. 귀사의 번영을 기원드리겠습니다.,
