name,ratings,date,title,comment
,4,2021-02-08,만족해요,"그누구도 컬리를 따라갈수 없이 상품구성도 좋고 시스템,서비스 모두 만족해요. 하지만 패킹방법은 너무 과합니다. 냉장,냉동,상온별로 박스를 달리하지 않아도 한박스안에 블럭을 나누거나 종이백을 사용하거나 해도 충분히 포장이 가능해요. 몇개만 시켜도 박스가 세네개 ㅜ그래서 주문이 꺼려져요. 꼭 반영해주시기 바랍니다."
,5,2020-06-15,줄겨찾기기능,안녕하세요! 마켓컬리 잘 쓰고 있는데 가장 불편한게 즐겨찾기 기능 없는거랑 후기 보는 게 다소 불편하다는 점입니다. 즐겨찾기 기능은 제가 못찾은 건지.. 없다면 꼭 반영 부탁드려요 ㅠ 후기도 눌러야만 볼 수 있는 게 아니라 스크롤해서 내리면 바로바로 한눈에 볼 수 있게 개편되면 좋겠습니다!
,5,2020-02-09,찜(자주구매하는버튼) 넣어주시면 안될까요?̊̈,어플로 넘어온 사용자 입니다.
,5,2021-03-09,신세계를 경험하다,광고는 봤지만 직접 사본건 광고에서 본 이벤트 때문이었다 주위사람에세 권하고 싶은데 배송불가라 안된다고 아쉬워 한다 다 좋은데 가격이 조금 비싼것 같아 세일하는거로 구매하고 있다 그리고 다 개별포장이라 배송오고 나면 쓰레기가 많아진다는 단점이 있다
,5,2018-07-05,진심 너무좋아요 왜 이제알았을까,"다음날 아침이면 짠 배송오는것도 좋은데,"
,5,2020-03-11,마켓 컬리는 샛별배송이 부산에도 있으면 좋겠네요,"아주 편리하고, 일반 마트에 잘있지않는 상품들이 있어서 좋아요~"
,5,2019-12-18,기분 좋은 장보기,처음엔 너무 많은 상품중 필요한 걸 고르는게 번거롭고 시간이 걸렸는데 차츰 신뢰할 만한 상품들을 단골처럼 구매하게 되고 새로운 새로운 식재료들을 맛보는 도전도 하게 되니 재미있고 좋아요. 다만 냉동 냉장  단품이 스티로폼 포장상자에 하나씩 담겨오는 경우는 좀 난감합니다. 좋은 개선방법이 필요할 것 같아요.
,5,2020-09-16,세상 편해요 ㅎㅎ,딸때문에 알게됫는데  눈으로 보고 만지고 골라야해서
,5,2020-04-25,건의드려요!,"마켓컬리를 잘 이용하고 있는데요, 찜하기 기능이 없는게 너무 아쉬워요ㅠㅠ 다른 마트어플에 비해서 컬리에는 당장 사기 보다는 나중에 사보고 싶은 아이템이 많은 편인데 전부 장바구니에 담아놓기에는 조금 불편해서요..! 이 기능만 추가된다면 정말정말 편하게 사용할 수 있을 것 같아요."
,5,2020-05-27,ㅎㅎ 잘 쓰고 있어요!,바라는 게 있다면 오늘의집이나 배달의 민족처럼 그 사람이 쓴 리뷰를 전부 볼 수 있으면 좋을 것 같아요! 리뷰 보면 되게 멋진 음식을 드시는 분들이 많은데 그 분들이 사시는 음식이나 리뷰를 더 보고 싶어요! 그리고 찜? 형식의 보관이 됐으면 좋겠어요 장바구니에 말고 따로 보관해서 나중에 살 수 있도록요!
