name,ratings,date,title,comment
mjin21,5,2016-03-02,마켓컬리 진짜 사랑해요~^^,알게 된 지 얼마 되지 않았지만 정말로 만족스럽게 쇼핑 하고 있습니다. 품질도 배송도 너무너무 맘에 들어요. 게다가 앱까지 나왔으니 더 쉽게 쇼핑 할 수 있겠네요. 앞으로도 계속 번창하셨으면 좋겠어요^^
우어엉엉,5,2016-03-02,컬리 앱 런칭 축하드려요 :),매번 사파리로 접속해서 구매하기 불편했는데 앱이 나오다니!!
rubbio85,5,2016-03-02,안사본 사람은있어도 한번만 산 사람은 없다는 마켓컬리!!,한번사면 중독성 짱ㅠㅠ 밤11시이전주문하면 오전7시이전 배송!! 좋은식품을 신선하게 바로받아볼수있어요 꼼꼼한배송에 한번더감동ㅠㅠ 그리고 맛집음식도 번거롭게가지않고 줄서지않도 편히 집에서 먹을수있음!! 이제 당신도 마켓컬리중독자!! ㅋㅋㅋㅋㅋㅋ
Toulon:),4,2016-03-04,마켓컬리앱 런칭을 축하합니다!,홈화면에 아이콘 연결해서 사파리로 검색했었는데 이제 그렇게 안해도 되서 너무 좋네요! 샛별배송 덕분에 아기 키우는 집은 장보기가 한결 편하고 안심이예요~^^
park cheng,5,2016-03-17,l love market kurly :),사진도. 앱도.맛도.품질도.구매도 배송까지!! 편하고 좋은 마켓컬리~^^
봄 0412,5,2016-04-09,너무 기다려져요!!,한참 늦게 알았나봐요 ㅠㅠ 벌써 단골이 있으시더라구요!! 빠른 배송 양질을 먹거리가 좋습니다! 벌써 주문해 놓고 기다려지네요~^^
Cas10th,5,2016-04-23,딱 찾던 그 앱,동생 추천으로 알게됐는데... 요즘 먹거리때문에 참 말도 많고 탈도 많은데 그런 고민 딱 없애주는 앱이네요. 물건들이 믿고 찾을민한 것들만 올려줘서 좋아요. 문제는 매진 된 것들이 자주 보여서 시고 싶은걸 맘대로 못산다는 점... 그만큼 잘 나간다는 말이겠죠 :)
사이다이닝,4,2016-04-28,전부터 지켜보던 마켓컬리!,참 좋은 식품이 가득한 마켓컬리! 평가가 대체로 좋은데요~ 저도 마켓컬리 자체는 좋아하는데 이번 어플에는 아쉬움이 남네요! 저만 그런가요ㅠㅠ 카테고리를 선택해 들어가면 흰 빈화면이 나오는 경우가 너무 많은 것 같아요.. 제가 아이폰을 사용하는데 제 폰이 문제인지는 모르겠지만.. 그래서 저는 지금은 컴퓨터로 이용하는데 앱은 아쉽지만 그럼에도 만족하고 믿고 사용하는 마켓컬리이니 어서 앱도 보완되길 기대합니다!
실행 안되요,5,2016-04-29,편리합니다,기다려왔던 마켓컬리 앱! 보통 이동하면서나 외부에 있을 때 모바일로 짬내서 뭘 살지 보게되는편인데요 앱이 출시돼서 더 편리하게 물건을 확인하고 휴대폰으로 바로 구입할 수 있게 되어서 좋습니다~
warmflower,5,2016-03-02,기다렸던 앱!!,"처음 마켓컬리 주문할 때 앱이 있을 거라 생각하고 앱스토어에서 검색했었는데 없더라구요. 좀 있으면 나오겠지, 했는데 역시! 훨씬 더 편하게 쇼핑할 수 있을 것 같아요!"
cafezuki,5,2016-03-02,사랑하는 마켓컬리!,앱 출시 축하드립니다!
Injyoon,5,2016-03-02,안그래도 기다렸던 앱,내일 뭐먹지 생각만하면?! 마법같이 다음날 새벽 문앞에 배송해주는 마켓컬리.
우기사랑쭈니,5,2016-03-03,발빠른 마켓컬리,마켓컬리 마켓컬리~ 다들 입을 모아 칭찬해서 대체 이게 뭔지 궁금하여 주문해본 후로 정말 애용하고 있습니다. 오죽하면 애아빠가 마켓컬리 중독이냐고 물을 정도로 이틀에 한번꼴로 주문하는 것 같아요 ㅎㅎ 앱이 나와서 더 편하게 주문할 수 있을 것 같아서 기대됩니다. 번창하세요
자유로운영혼11,5,2016-03-14,친환경제품 구매는 마켓컬리앱!,친환경 제품 구매! 마켓컬리앱 환영합니다~ UI도 깔끔하고 직관적이어서 사용하기 편리해요. 친환경 제품 자주 사는데 다른 사이트는 모바일 구매/결제가 어려워서 정말 불편했는데(아기 키우면서 PC로 물건 구매하기 진짜 어려워요ㅜ) 마켓컬리는 어플이 있어서 편리하게 이용할수 있어요! 추천합니다~
빠아꾸,5,2016-03-26,역시 마켓컬리!,첫구매 마켓컬리앱으로 성공했어요~! 온라인으로 주문하는데 결제정보에서 계속 적용이 안되서 애먹다가 마켓컬리어플 출시됐다는거 생각나서 다운받고 장바구니에 있던거 결제하니 바로 넘어가더라구요^.^ 자주 이용할께요~ 감사합니다
nylee89,5,2016-04-04,어메이징 컬리,"필요한 것, 매일 사는 것, 카테고리별로 테마별로 넘나 보기 좋게 쇼핑하기 편리하게,찾기쉽게 쇼핑 생활을 한단계 높여준 컬리마켓 너무 좋아요. 샛별 배송까지 어쩜 이런 어메이징하고 장한 어플이 있을까요 핸드폰으로도 간편하게 이용 할 수 있는 사랑하는 컬리마켓 👍👍👍👍👍👍👍👍😍😍"
FreeYuro,4,2016-04-10,아이패드에서도 잘 되게 만들어 주세요,마켓컬리 넘 좋아요. 전날 주문하면 바로 새벽에 배송해 주는 데다 상품이 싱싱해서 만족하고 있어요. 그런데 오늘도 주문하려고 들어갔는데 아이패드에서는 메인 화면만 나오고 다른 화면은 하얗게 나오네요. 그리고 아이폰 5s에서는 첫화면만 모바일버젼이고 그 이후로는 다 피씨 버젼으로 바뀝니다. 쇼핑하기 힘들어요 ㅠㅠ 수정 부탁드려요~^^
jjin8309,5,2016-04-11,배송신세계~,전날저녁에 주문했는데 자고일어나니 집앞문에 딱 와있어서 정말 놀랬어요
bola kurly,5,2016-04-29,보라!마켓컬리!(purple!market kurly!),밤 11시까지 주문하면 새벽 7시전에 현관 앞에 배송 해주는 컬리! 믿고 받는 친구 같은 컬리! 결제가 몰리면 좀 버벅대긴하지만 기다려줄만한 가치가 있는 고마운 컬리!
biancasta07,5,2016-03-02,스마트한 장보기~,컬리 사이트에서 주문하려고 들어왔다가 앱이 생겨서 냉큼 설치했어요~이젠 늦은 퇴근길에도 백화점 마트같은 장보기 할수 있어서 좋아요^^ 앱도 사용하기 편해요. 첫배송 기대되네요~
잇웅,5,2016-03-02,기다렸던 마켓컬리 앱!,"컴퓨터 사용을 잘 안해서 그동안 넘 기다렸던 서비스에요! 살펴보니 사용하기 쉽고, 상품 보기 편하고, 잠들기 전에 누워서 스윽- 보면서 내일 필요한 먹거리 사서 결제하고 일어나면 도착해 있으니 너무 편리합니다^^"
pyj3518,5,2016-03-03,마켓컬리 앱이라니😘,"이제 웹사이크 추가하지 않고도 편하게 장을 볼수 있어서 너무 편하고 좋아요! 모바일사이트도 나와서 좋았는데, 이렇게 빨리 어플까지 나오다니 마켓컬리 짱이예요!"
쁘니랑이,5,2016-03-03,완전 좋고 편해여,오늘 주문하면 내일 아침에 배송되서 넘나 편한 것!! 자주 애용하고 있어요 앱으로도 나와서 너무 좋네요^^ 앞으로 더 많고 좋은 상품 많이 판매해주세요!! ^^
고양이562,5,2016-03-10,앱출시로 인해 더욱 간편해진 음식주문!!,오오 마켓컬리너무 좋아했는데 이렇게 앱으로도 나와주니 너무 좋네요. 앞으로 더욱 손쉽게 주문할 수 있겠어요!!!
Rnentgl,5,2016-03-18,앱으로 생기니 편해요~,앱이 생기니 확실히 장보기가 편하네요! 그런데 아직은 서버가 불안정한듯 하네요; 그리고 상품상세 페이지에서 뒤로가면 리스트의 처음으로 가게 되던데 그게 좀 불편해요. 개선되었으면해요~ 앞으로 편하게 장볼께요!
laura9701,5,2016-04-14,넘나좋은것!!!,신박한 배송시스템!!
Mkkjj,5,2016-04-20,손에서 떼지못할 앱!!,매일밤 열한시가되면 뭐라도 사야할것 같은 이 불안감!! 이제 앱도출시됐으니 건강한 삶을위해 좋은 식재료 자주 많이 구매할 수 있겠어요
토깡목장,5,2016-04-20,로켓배송보다 빠르네요 !!!,전날 주문하면 아침7시 배달이라니 .... 마켓컬리는 우리집 우렁각시네요 ^^. 유명한 비스테카도 맛보고 장도보고 너무 좋아요 ~~ 품목 더 많이 늘려주세욧 ~~~
Ilovekurly,5,2017-02-10,컬리 넘 좋아요❤️,"여기서 장보기 시작하니 다른데 못가겠네용ㅋㅋ 장보는거 너무 편하고, 맛있고 좋은 상품도 많아서 만족스럽게 쓰고 있어요! 앞으로도 좋은 서비스 쭉 부탁드립니다 :)"
Joanna0524,3,2016-03-03,좋아요!,더욱 가깝고 간편하게 컬리를 이용하게되어 좋아요!^^
Guris.s,5,2016-03-06,편리하고 신선한 마켓컬리,너무 좋은 상품들을 편리하게 받아 볼 수 있는 마켓컬리
모아리눙,5,2016-03-23,다 좋은데...,다 좋은데... 너무 느려요.
